,Player,HOF Probability,Inducted
465,Chone Figgins,0.6%,No
466,Johnny Ray,0.6%,No
467,José Offerman,0.6%,No
468,Gorman Thomas,0.6%,No
469,Granny Hamner,0.6%,No
470,Rick Burleson,0.6%,No
471,Richie Zisk,0.6%,No
472,Terry Kennedy,0.6%,No
473,Marco Scutaro,0.6%,No
474,Willie Jones,0.6%,No
475,Danny Tartabull,0.6%,No
476,Carlos Baerga,0.6%,No
477,Al Bumbry,0.6%,No
478,Carlos Gómez,0.6%,No
479,Mike Napoli,0.6%,No
480,Tony Taylor,0.6%,No
481,Bobby Higginson,0.6%,No
482,Carl Everett,0.6%,No
483,Ozzie Guillén,0.5%,No
484,Ian Desmond,0.5%,No
485,Casey Blake,0.5%,No
486,Tom Herr,0.5%,No
487,Stan Javier,0.5%,No
488,Jeff Conine,0.5%,No
489,José Cardenal,0.5%,No
490,Juan Pierre,0.5%,No
491,Jeromy Burnitz,0.5%,No
492,Todd Zeile,0.5%,No
493,Bill Bruton,0.5%,No
494,Damion Easley,0.5%,No
495,Dave Cash,0.5%,No
496,Tom Brunansky,0.5%,No
497,George McQuinn,0.5%,No
498,Frank Thomas,0.5%,No
499,Ken Oberkfell,0.5%,No
500,Bill Skowron,0.5%,No
501,Jack Wilson,0.5%,No
502,Whitey Lockman,0.5%,No
503,Dan Uggla,0.5%,No
504,José Vidro,0.5%,No
505,Alvin Davis,0.5%,No
506,Al Smith,0.5%,No
507,Claudell Washington,0.5%,No
508,Juan Samuel,0.5%,No
509,Geoff Jenkins,0.5%,No
510,Jay Buhner,0.5%,No
511,Billy Goodman,0.4%,No
512,Adam Kennedy,0.4%,No
513,Eric Young Sr.,0.4%,No
514,Brad Ausmus,0.4%,No
515,Hideki Matsui,0.4%,No
516,Rich Aurilia,0.4%,No
517,Gus Bell,0.4%,No
518,Ruppert Jones,0.4%,No
519,Dave Kingman,0.4%,No
520,Jerry Mumphrey,0.4%,No
521,Jim Northrup,0.4%,No
522,Eddie Miller,0.4%,No
523,Richie Sexson,0.4%,No
524,Rick Dempsey,0.4%,No
525,Jeff Blauser,0.4%,No
526,Doug Rader,0.4%,No
527,Mark McLemore,0.4%,No
528,David Eckstein,0.4%,No
529,Ronnie Belliard,0.4%,No
530,Pete O'Brien,0.4%,No
531,Norm Siebern,0.4%,No
532,Larry Parrish,0.4%,No
533,Oscar Gamble,0.4%,No
